"","TSE_code","year","company","market","TSE_name","TEJ_name2","TEJ_code2","TEJ_name1","TEJ_code1","BTE","CTP_GAAP","CTP_IFRS_CFI","CTP_IFRS_CFO","CTP_IFRS_CFF","PTEBX","EBIT","OERD","OEPRO","NetSales","employee","PB","FA","Land","LandR","GrossSales","TA","TL","INTAN","QUICK","InvIn","InvLoss","OUTINSTI","RELATIN","RELATOUT","FAMILY","FAMILY2"
"1","M1100",2015,"1101 台泥","TSE","水泥工業","水泥製造","M11A","水泥製造","M11A",1740389,NA,0,-3227539,0,8666015,10539754,6895,859723,93679076,9768,0.93,113310134,20766374,0,93679076,293066355,137582103,22607552,111.48,-737161,0,78.71,NA,12,"F","單一家族主導"
"2","M1100",2015,"1102 亞泥","TSE","水泥工業","水泥製造","M11A","水泥製造","M11A",1879675,NA,0,-1216131,0,6814158,8462028,NA,NA,66287480,6719,0.68,67264573,6551714,0,66287480,270077209,115223017,5304367,65.61,-2986137,0,80.36,NA,28,"F","單一家族主導"
"3","M1100",2015,"1103 嘉泥","TSE","水泥工業","水泥製造","M11A","水泥製造","M11A",-18421,NA,0,-91217,0,194900,421125,0,44136,2826519,561,0.6,2336208,10470,0,2826519,27383042,13336696,0,420.56,0,117219,57.29,NA,9,"F","單一家族主導"
"4","M1100",2015,"1104 環泥","TSE","水泥工業","水泥製造","M11A","水泥製造","M11A",88490,NA,0,-42436,0,1471598,1486192,67033,100022,5163751,539,0.89,5587635,4666670,0,5163751,19970871,3970485,8523,103.81,-1100028,0,54.19,NA,3,"F","單一家族主導"
"5","M1100",2015,"1108 幸福","TSE","水泥工業","水泥製造","M11A","水泥製造","M11A",112889,NA,0,-21063,0,616324,658951,0,135878,5021353,552,0.85,2157348,724675,0,5021353,7855502,3009838,0,71.52,0,0,49.24,NA,12,"F","單一家族主導"
"6","M1100",2015,"1109 信大","TSE","水泥工業","水泥製造","M11A","水泥製造","M11A",68462,NA,0,-44468,0,11055,35961,0,178586,4350645,848,0.7,4094343,562960,0,4350645,8636326,2248398,4310,151.96,0,916,13.11,NA,5,"F","單一家族主導"
"7","M1100",2015,"1110 東泥","TSE","水泥工業","水泥製造","M11A","水泥製造","M11A",-507,NA,0,-7218,0,143959,144497,0,7311,1857289,138,1.05,349465,252143,0,1857289,9382538,742845,66,317.41,0,6290,83.28,NA,8,"F","單一家族主導"
"8","M1100",2014,"1101 台泥","TSE","水泥工業","水泥製造","M11A","水泥製造","M11A",4614844,NA,0,-4066554,0,21198720,23105935,38678,964818,118325809,8890,1.36,108445563,20792683,0,118325809,292743832,130726151,19542637,117.97,-1250088,0,80.31,NA,11,"F","單一家族主導"
"9","M1100",2014,"1102 亞泥","TSE","水泥工業","水泥製造","M11A","水泥製造","M11A",2813741,NA,0,-2059597,0,13719739,15387337,NA,NA,77683281,6917,0.92,70586382,6545839,0,77683281,282819055,121091829,5485677,90.87,-4350273,0,81,NA,29,"F","單一家族主導"
"10","M1100",2014,"1103 嘉泥","TSE","水泥工業","水泥製造","M11A","水泥製造","M11A",-44487,NA,0,-78763,0,9301,202368,0,45915,3937686,567,0.63,3085890,10470,0,3937686,33666479,14384421,0,280.3,0,17916,56.76,NA,8,"F","單一家族主導"
"11","M1100",2014,"1104 環泥","TSE","水泥工業","水泥製造","M11A","水泥製造","M11A",83580,NA,0,-30764,0,1468035,1478177,37160,95565,5819904,539,1.02,5736238,4896502,0,5819904,19382756,3584786,8811,106.29,-1120584,0,53.35,NA,6,"F","單一家族主導"
"12","M1100",2014,"1108 幸福","TSE","水泥工業","水泥製造","M11A","水泥製造","M11A",70993,NA,0,-10127,0,473285,531636,0,129842,5075583,537,0.91,2300176,724675,0,5075583,8363279,3748165,0,66.46,0,0,46.62,NA,16,"F","單一家族主導"
"13","M1100",2014,"1109 信大","TSE","水泥工業","水泥製造","M11A","水泥製造","M11A",90056,NA,0,-113518,0,426820,465137,0,227098,5000089,848,0.94,4273522,562960,0,5000089,9283515,2251394,5030,97.39,0,1012,11.68,NA,8,"F","單一家族主導"
"14","M1100",2014,"1110 東泥","TSE","水泥工業","水泥製造","M11A","水泥製造","M11A",-11396,NA,0,-846,0,130905,132573,0,6662,2078224,138,1.1,337341,252143,0,2078224,9602737,743412,239,385.1,-5971,0,81.93,NA,7,"F","單一家族主導"
"15","M1100",2013,"1101 台泥","TSE","水泥工業","水泥製造","M11A","水泥製造","M11A",3485773,NA,0,-2688324,0,18604456,20514756,43663,1019186,116098947,8448,1.51,109369671,20792683,0,116098947,282680739,129062162,19495931,102.96,-585550,0,77.38,NA,10,"F","單一家族主導"
"16","M1100",2013,"1102 亞泥","TSE","水泥工業","水泥製造","M11A","水泥製造","M11A",1917929,NA,0,-1351200,0,14082248,15722452,NA,NA,69770702,6373,0.95,62481951,6680208,0,69793071,262403581,109561379,2176436,89.89,-5217067,0,80.43,NA,31,"F","單一家族主導"
"17","M1100",2013,"1103 嘉泥","TSE","水泥工業","水泥製造","M11A","水泥製造","M11A",48877,NA,0,-113552,0,1338804,1510136,0,46056,4268305,589,0.64,3615676,11179,0,4268305,33374653,11876356,0,320.14,-956,0,56,NA,27,"F","單一家族主導"
"18","M1100",2013,"1104 環泥","TSE","水泥工業","水泥製造","M11A","水泥製造","M11A",29514,NA,0,-5273,0,1148493,1155316,35029,79853,5276157,539,1.19,5846863,4979176,0,5276157,17746983,3207834,9328,129.97,-843929,0,47.37,NA,14,"F","單一家族主導"
