"","TSE_code","year","company","date","market","TSE_name","TEJ_name2","TEJ_code2","TEJ_name1","TEJ_code1","BTE","CTP_GAAP","CTP_IFRS_CFI","CTP_IFRS_CFO","CTP_IFRS_CFF","PTEBX","EBIT","OERD","OEPRO","NetSales","employee","PB","FA","Land","LandR","GrossSales","TA","TL","INTAN","QUICK","InvIn","InvLoss","OUTINSTI","RELATIN","RELATOUT","FAMILY","FAMILY2"
"1","M1800",2001,"1802 台玻",2001-12-31,"TSE","玻璃陶瓷","玻璃陶瓷","M18","玻璃陶瓷","M18",327576,694119,NA,NA,NA,2524685,2614192,0,1179542,12869466,NA,1.07,16236102,1923206,435857,12905185,29166217,4392177,346261,146.83,-20221,0,75.96,0,NA,"F","單一家族主導"
"2","M1800",2001,"1806 冠軍",2001-12-31,"TSE","玻璃陶瓷","玻璃陶瓷","M18","玻璃陶瓷","M18",54003,319,NA,NA,NA,-621231,-420857,18379,660197,2521488,NA,0.31,2738366,426618,57885,2681842,6646066,3808260,12,37.56,0,126582,40.91,0,0,"F","單一家族主導"
"3","M1800",2001,"1809 中釉",2001-12-31,"TSE","玻璃陶瓷","玻璃陶瓷","M18","玻璃陶瓷","M18",14131,18115,NA,NA,NA,57984,105730,19323,111350,1618191,311,0.54,1381386,855591,0,1636190,3512086,1439370,633,86.27,0,31604,6.7,5,11,"F","單一家族主導"
"4","M1800",2001,"1810 和成",2001-12-31,"TSE","玻璃陶瓷","玻璃陶瓷","M18","玻璃陶瓷","M18",35587,698,NA,NA,NA,-136556,168234,89220,362968,3882735,NA,0.48,5069956,1324087,239767,4231445,13393990,6617104,80590,48.11,0,36078,11.23,31,2,"F","單一家族主導"
"5","M1800",2002,"1802 台玻",2002-12-31,"TSE","玻璃陶瓷","玻璃陶瓷","M18","玻璃陶瓷","M18",480825,167424,NA,NA,NA,2259059,2288069,40255,1318691,14461476,5954,1.12,16964107,1922929,435857,14488537,30963121,5424812,376461,179.32,-69243,0,75.5,0,NA,"F","單一家族主導"
"6","M1800",2002,"1806 冠軍",2002-12-31,"TSE","玻璃陶瓷","玻璃陶瓷","M18","玻璃陶瓷","M18",20845,4394,NA,NA,NA,-62094,109669,11204,605104,2429144,NA,0.34,2649361,426650,57884,2491422,6500563,3783731,7,31.56,0,3791,30.73,12,0,"F","單一家族主導"
"7","M1800",2002,"1809 中釉",2002-12-31,"TSE","玻璃陶瓷","玻璃陶瓷","M18","玻璃陶瓷","M18",-14345,20230,NA,NA,NA,-81030,-39221,17824,89715,1453864,303,0.66,1141833,808113,0,1474868,3361084,1397478,1818,65.85,0,134450,5.04,3,17,"F","單一家族主導"
"8","M1800",2002,"1810 和成",2002-12-31,"TSE","玻璃陶瓷","玻璃陶瓷","M18","玻璃陶瓷","M18",36649,279,NA,NA,NA,-364685,-139748,76140,321880,3727615,NA,0.51,4086848,1026724,17045,3999199,11957900,5698995,43372,49.2,0,161933,10.91,33,3,"F","單一家族主導"
"9","M1800",2003,"1802 台玻",2003-12-31,"TSE","玻璃陶瓷","玻璃陶瓷","M18","玻璃陶瓷","M18",376632,374674,NA,NA,NA,2193788,2223245,38309,1568402,16124260,6364,1.23,17743650,1922929,435857,16141661,32969365,6160102,787921,230.86,-50216,54045,76.08,1,NA,"F","單一家族主導"
"10","M1800",2003,"1806 冠軍",2003-12-31,"TSE","玻璃陶瓷","玻璃陶瓷","M18","玻璃陶瓷","M18",28412,11763,NA,NA,NA,72433,222344,13610,682933,2950181,1862,0.91,2559798,397140,0,3041940,6824619,4089396,139518,32.69,-12433,0,34.68,4,0,"F","單一家族主導"
"11","M1800",2003,"1809 中釉",2003-12-31,"TSE","玻璃陶瓷","玻璃陶瓷","M18","玻璃陶瓷","M18",-24606,11926,NA,NA,NA,14306,44665,23924,103960,1506458,766,0.58,1254366,856560,0,1523175,3312710,1278388,6770,63.86,-1995,0,0.92,2,16,"F","單一家族主導"
"12","M1800",2003,"1810 和成",2003-12-31,"TSE","玻璃陶瓷","玻璃陶瓷","M18","玻璃陶瓷","M18",19875,1391,NA,NA,NA,53294,238604,74161,299212,3867631,2537,0.64,4600114,1032948,863254,4200189,12498638,5610415,36124,57.22,0,67340,9.51,32,4,"F","單一家族主導"
"13","M1800",2004,"1802 台玻",2004-12-31,"TSE","玻璃陶瓷","玻璃陶瓷","M18","玻璃陶瓷","M18",804591,384888,NA,NA,NA,4655845,4716910,39381,1771599,20079602,7870,1.4,20486809,1922929,435857,20087002,39502219,9824937,801681,226.52,-36013,0,76.99,3,NA,"F","單一家族主導"
"14","M1800",2004,"1806 冠軍",2004-12-31,"TSE","玻璃陶瓷","玻璃陶瓷","M18","玻璃陶瓷","M18",15185,60888,NA,NA,NA,126690,300991,9918,798474,3556705,2172,0.86,2962860,401223,0,3864088,6946203,3984160,144342,30.43,0,185,36.31,11,0,"F","單一家族主導"
"15","M1800",2004,"1809 中釉",2004-12-31,"TSE","玻璃陶瓷","玻璃陶瓷","M18","玻璃陶瓷","M18",16299,364,NA,NA,NA,24328,47528,24596,117959,1879229,801,0.67,1225938,856560,0,1897902,3232088,1218138,5089,63,0,17776,2.61,5,17,"F","單一家族主導"
"16","M1800",2004,"1810 和成",2004-12-31,"TSE","玻璃陶瓷","玻璃陶瓷","M18","玻璃陶瓷","M18",27114,17119,NA,NA,NA,-681579,-525650,83804,378331,4302912,2376,0.7,4677446,1227155,NA,4664245,11559828,5469217,59940,47.91,0,137280,16.53,34,3,"F","單一家族主導"
"17","M1800",2005,"1802 台玻",2005-12-30,"TSE","玻璃陶瓷","玻璃陶瓷","M18","玻璃陶瓷","M18",750647,949612,NA,NA,NA,3867733,4106861,37808,1873560,22358097,9724,1.21,25655288,1933702,435857,22372061,46818148,13408173,685575,164.68,0,0,76.97,4,0,"F","單一家族主導"
"18","M1800",2005,"1806 冠軍",2005-12-30,"TSE","玻璃陶瓷","玻璃陶瓷","M18","玻璃陶瓷","M18",71973,13269,NA,NA,NA,263057,428858,9987,955759,4076754,2339,0.59,3010729,398983,0,4380839,7216586,3954627,153507,32.41,0,82585,33.76,6,4,"F","單一家族主導"
"19","M1800",2005,"1809 中釉",2005-12-30,"TSE","玻璃陶瓷","玻璃陶瓷","M18","玻璃陶瓷","M18",48887,28138,NA,NA,NA,203324,227766,67618,225725,3273053,897,0.36,1639989,944721,0,3294467,4458454,1566927,32000,116.71,0,0,5.1,7,21,"F","單一家族主導"
